2BLOCK              -	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FSBNDMQ61           -	-	1.81	1.11	0.73	0.59	0.53	0.64	0.53	0.46	0.44	0.38	0.44	0.35	0.31	0.31	-
FSBNDMQ62           -	-	1.36	0.86	0.74	0.67	0.56	0.42	0.38	0.37	0.39	0.45	0.34	0.42	0.39	0.34	-
FSBNDMQ64           -	-	0.98	0.71	0.66	0.55	0.53	0.50	0.45	0.52	0.38	0.37	0.37	0.35	0.39	0.35	-
FSBNDMQ81           -	-	-	2.31	1.30	1.00	0.78	0.64	0.55	0.49	0.60	0.57	0.44	0.47	0.38	0.34	-
FSBNDMQ82           -	-	-	1.65	1.14	0.77	0.77	0.60	0.66	0.57	0.42	0.42	0.43	0.36	0.49	0.48	-
FSBNDMQ84           -	-	-	1.11	0.83	0.72	0.69	0.66	0.44	0.44	0.53	0.46	0.56	0.39	0.40	0.41	-
FSBNDMQ86           -	-	-	0.90	0.82	0.70	0.64	0.54	0.50	0.52	0.43	0.41	0.49	0.43	0.55	0.52	-
GG                  -	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GRASPM              3.21	2.02	1.38	1.20	1.08	1.02	0.79	0.88	0.69	0.73	0.83	0.84	0.70	0.65	0.64	0.57	-
GS                  -	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
HASH3               -	3.60	1.99	1.46	1.21	1.01	0.86	0.69	0.81	0.74	0.65	0.62	0.58	0.56	0.49	0.53	-
HASH5               -	-	3.99	2.08	1.50	1.37	1.12	0.93	0.75	0.71	0.61	0.78	0.54	0.67	0.54	0.49	-
HASH8               -	-	-	8.90	3.14	2.00	1.47	1.25	1.11	0.91	0.88	0.87	0.78	0.62	0.63	0.67	-
HOR                 4.38	2.66	1.76	1.45	1.45	1.28	1.17	0.90	0.90	0.99	0.80	0.91	0.82	0.81	0.74	0.63	-
ILDM1               3.01	2.63	1.97	1.69	1.53	1.47	1.41	1.21	1.00	0.94	0.92	0.95	0.97	0.79	0.81	0.82	-
ILDM2               3.46	2.59	1.96	1.77	1.60	1.50	1.47	1.28	1.26	1.08	1.07	1.07	1.06	0.92	1.02	0.93	-
KBNDM               2.98	1.88	1.42	1.08	1.10	1.10	0.80	0.74	0.90	0.83	0.75	0.80	0.68	0.89	0.81	0.65	-
